Section,,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,71.51%,71.51%,71.51%,71.51%,71.51%,71.51%,71.51%,71.51%,71.51%,71.51%,71.51%,71.51%,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,
Shareholding Pattern (Quarterly),Public,28.48%,28.49%,28.50%,28.48%,28.49%,28.49%,28.49%,28.50%,28.50%,28.45%,28.49%,28.49%,
Shareholding Pattern (Quarterly),No. of Shareholders,246,369,999,1265,1874,3361,6880,6542,7872,9116,9461,9589,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.51%,,,71.51%,,,,71.51%,,,,71.51%,71.51%
Shareholding Pattern (Yearly),Public,28.48%,,,28.48%,,,,28.50%,,,,28.49%,28.49%
Shareholding Pattern (Yearly),No. of Shareholders,246,,,1265,,,,6542,,,,9589,254
,,,,,,,,,,,,,,
