Section,,Mar 2024,Dec 2024,Mar 2025,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Mar 2021
Quarterly Results,Sales,27.64,20.42,27.73,,,,,,,,,,
Quarterly Results,Expenses,21.45,16.07,22.11,,,,,,,,,,
Quarterly Results,Operating Profit,6.19,4.35,5.62,,,,,,,,,,
Quarterly Results,OPM %,22.40%,21.30%,20.27%,,,,,,,,,,
Quarterly Results,Other Income,0.06,0.05,0.23,,,,,,,,,,
Quarterly Results,Interest,0.65,0.69,0.68,,,,,,,,,,
Quarterly Results,Depreciation,1.55,1.67,1.89,,,,,,,,,,
Quarterly Results,Profit before tax,4.05,2.04,3.28,,,,,,,,,,
Quarterly Results,Tax %,26.42%,11.27%,25.30%,,,,,,,,,,
Quarterly Results,Net Profit,2.99,1.81,2.46,,,,,,,,,,
Quarterly Results,EPS in Rs,0.92,0.56,0.76,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,57.04,,82.09,,,,,,,,,,
Profit & Loss,Expenses,43.18,,64.73,,,,,,,,,,
Profit & Loss,Operating Profit,13.86,,17.36,,,,,,,,,,
Profit & Loss,OPM %,24.30%,,21.15%,,,,,,,,,,
Profit & Loss,Other Income,0.21,,0.39,,,,,,,,,,
Profit & Loss,Interest,2.44,,2.74,,,,,,,,,,
Profit & Loss,Depreciation,5.32,,6.73,,,,,,,,,,
Profit & Loss,Profit before tax,6.31,,8.28,,,,,,,,,,
Profit & Loss,Tax %,20.13%,,18.84%,,,,,,,,,,
Profit & Loss,Net Profit,5.04,,6.72,,,,,,,,,,
Profit & Loss,EPS in Rs,1.55,,2.07,,,,,,,,,,
Profit & Loss,Dividend Payout %,4.30%,,4.83%,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.83,,32.48,,,,,,,,,,
Balance Sheet,Reserves,22.72,,31.29,,,,,,,,,,
Balance Sheet,Borrowings,17.80,,22.24,,,,,,,,,,
Balance Sheet,Other Liabilities,8.70,,27.80,,,,,,,,,,
Balance Sheet,Total Liabilities,60.05,,113.81,,,,,,,,,,
Balance Sheet,Fixed Assets,21.70,,26.54,,,,,,,,,,
Balance Sheet,CWIP,0.00,,0.00,,,,,,,,,,
Balance Sheet,Investments,0.10,,0.10,,,,,,,,,,
Balance Sheet,Other Assets,38.25,,87.17,,,,,,,,,,
Balance Sheet,Total Assets,60.05,,113.81,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,11.23,,-13.30,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-11.41,,-8.17,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-0.07,,21.78,,,,,,,,,,
Cash Flows,Net Cash Flow,-0.25,,0.31,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,114.99,,135.35,,,,,,,,,,
Ratios,Inventory Days,245.65,,,,,,,,,,,,
Ratios,Days Payable,233.68,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,126.96,,135.35,,,,,,,,,,
Ratios,Working Capital Days,177.00,,253.75,,,,,,,,,,
Ratios,ROCE %,,,15.45%,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,56.36%,56.36%,56.36%,55.35%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.63%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.47%,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.03%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,
Shareholding Pattern (Quarterly),Public,43.64%,42.98%,43.07%,44.65%,43.64%,43.64%,43.63%,43.62%,43.63%,43.64%,43.10%,43.13%,
Shareholding Pattern (Quarterly),No. of Shareholders,1438,3531,3508,845,478,633,728,1120,1178,1274,2356,3298,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,56.36%,,56.36%,55.35%,,,56.36%,,,,,,71.11%
Shareholding Pattern (Yearly),FIIs,0.00%,,0.55%,0.00%,,,0.00%,,,,,,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,0.03%,0.00%,,,0.00%,,,,,,0.00%
Shareholding Pattern (Yearly),Public,43.64%,,43.07%,44.65%,,,43.63%,,,,,,28.89%
Shareholding Pattern (Yearly),No. of Shareholders,1438,,3508,845,,,728,,,,,,118
,,,,,,,,,,,,,,
