Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,325,344,393,392,480,386,392,296,401,254,294,390,500,,,
Quarterly Results,Expenses,220,245,282,281,363,285,285,216,308,201,214,266,356,,,
Quarterly Results,Operating Profit,105,99,111,111,117,101,107,79,93,53,80,124,144,,,
Quarterly Results,OPM %,32%,29%,28%,28%,24%,26%,27%,27%,23%,21%,27%,32%,29%,,,
Quarterly Results,Other Income,-7,-8,-10,-3,24,12,3,2,12,6,2,-4,6,,,
Quarterly Results,Interest,14,12,16,14,20,18,20,25,26,22,27,32,31,,,
Quarterly Results,Depreciation,15,16,18,18,19,19,20,20,21,21,22,29,31,,,
Quarterly Results,Profit before tax,68,62,67,75,103,77,71,36,58,16,34,59,88,,,
Quarterly Results,Tax %,33%,32%,29%,28%,29%,32%,31%,28%,30%,25%,10%,9%,29%,,,
Quarterly Results,Net Profit,46,42,48,54,73,52,49,26,40,12,31,54,63,,,
Quarterly Results,EPS in Rs,4.60,3.96,4.15,4.00,5.28,3.59,3.78,1.68,2.82,0.36,1.52,2.56,4.05,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1074,,,,1602,,,,1475,,,,1437,502,529,811
Profit & Loss,Expenses,769,,,,1171,,,,1094,,,,1036,408,394,617
Profit & Loss,Operating Profit,305,,,,431,,,,381,,,,401,93,135,194
Profit & Loss,OPM %,28%,,,,27%,,,,26%,,,,28%,19%,25%,24%
Profit & Loss,Other Income,8,,,,10,,,,30,,,,11,19,11,26
Profit & Loss,Interest,31,,,,63,,,,89,,,,112,24,45,69
Profit & Loss,Depreciation,60,,,,71,,,,80,,,,102,23,29,52
Profit & Loss,Profit before tax,222,,,,308,,,,242,,,,198,66,72,100
Profit & Loss,Tax %,31%,,,,30%,,,,31%,,,,19%,24%,26%,30%
Profit & Loss,Net Profit,152,,,,217,,,,167,,,,160,49,53,70
Profit & Loss,EPS in Rs,15.18,,,,16.84,,,,11.72,,,,8.49,9.85,10.64,7.04
Profit & Loss,Dividend Payout %,7%,,,,15%,,,,11%,,,,0%,0%,0%,7%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,100,,,,107,,,,110,,,,110,50,50,100
Balance Sheet,Reserves,1627,,,,2265,,,,2651,,,,2740,432,515,1473
Balance Sheet,Borrowings,836,,,,822,,,,1070,,,,1373,694,847,423
Balance Sheet,Other Liabilities,327,,,,584,,,,771,,,,1045,146,252,301
Balance Sheet,Total Liabilities,2891,,,,3778,,,,4602,,,,5269,1323,1664,2298
Balance Sheet,Fixed Assets,1202,,,,1417,,,,1501,,,,2185,681,977,1115
Balance Sheet,CWIP,44,,,,120,,,,609,,,,216,191,101,43
Balance Sheet,Investments,149,,,,67,,,,67,,,,9,0,0,0
Balance Sheet,Other Assets,1496,,,,2173,,,,2424,,,,2860,451,586,1140
Balance Sheet,Total Assets,2891,,,,3778,,,,4602,,,,5269,1323,1664,2298
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-171,,,,292,,,,59,,,,-30,39,95,1
Cash Flows,Cash from Investing Activity,-412,,,,-523,,,,-392,,,,-330,-250,-178,-193
Cash Flows,Cash from Financing Activity,384,,,,371,,,,395,,,,223,206,102,416
Cash Flows,Net Cash Flow,-199,,,,140,,,,62,,,,-137,-6,19,224
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,95,,,,95,,,,143,,,,186,88,89,92
Ratios,Inventory Days,852,,,,483,,,,627,,,,876,277,515,530
Ratios,Days Payable,225,,,,167,,,,247,,,,348,105,226,215
Ratios,Cash Conversion Cycle,722,,,,410,,,,524,,,,715,260,379,408
Ratios,Working Capital Days,328,,,,253,,,,344,,,,454,168,185,233
Ratios,ROCE %,11%,,,,13%,,,,9%,,,,7%,,9%,10%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.17%,65.16%,60.96%,60.80%,60.77%,60.73%,61.41%,61.26%,61.23%,61.23%,61.19%,61.19%,,,
Shareholding Pattern (Quarterly),FIIs,,4.98%,4.59%,8.19%,8.52%,9.79%,10.26%,9.13%,8.07%,7.14%,7.00%,7.46%,6.47%,,,
Shareholding Pattern (Quarterly),DIIs,,4.40%,4.40%,6.18%,4.98%,3.74%,1.76%,2.51%,2.56%,2.56%,2.30%,2.32%,2.25%,,,
Shareholding Pattern (Quarterly),Public,,25.45%,25.84%,24.67%,25.68%,25.71%,27.25%,26.96%,28.10%,29.06%,29.47%,29.06%,30.11%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,65870,71492,73326,66507,61504,61129,60089,57623,62218,63866,60938,57478,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.18%,,,,60.80%,,,,61.26%,,,,61.19%,,,65.40%
Shareholding Pattern (Yearly),FIIs,5.73%,,,,8.52%,,,,8.07%,,,,6.47%,,,5.74%
Shareholding Pattern (Yearly),DIIs,3.68%,,,,4.98%,,,,2.56%,,,,2.25%,,,1.75%
Shareholding Pattern (Yearly),Public,25.41%,,,,25.68%,,,,28.10%,,,,30.11%,,,27.11%
Shareholding Pattern (Yearly),No. of Shareholders,65071,,,,66507,,,,57623,,,,57478,,,160298
,,,,,,,,,,,,,,,,,
