Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016,Feb 2016
Quarterly Results,Sales,210,217,227,231,243,249,241,245,248,262,271,279,286,,,,,,,,,,
Quarterly Results,Expenses,185,191,202,205,226,222,214,227,216,230,238,245,257,,,,,,,,,,
Quarterly Results,Operating Profit,26,26,25,25,17,27,26,18,32,32,32,34,29,,,,,,,,,,
Quarterly Results,OPM %,12%,12%,11%,11%,7%,11%,11%,8%,13%,12%,12%,12%,10%,,,,,,,,,,
Quarterly Results,Other Income,0,0,1,1,-183,0,0,0,1,0,0,0,1,,,,,,,,,,
Quarterly Results,Interest,3,3,3,3,3,4,4,5,5,5,5,5,6,,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,5,4,4,4,4,4,4,4,4,,,,,,,,,,
Quarterly Results,Profit before tax,20,20,20,20,-174,20,19,10,24,23,24,25,21,,,,,,,,,,
Quarterly Results,Tax %,7%,18%,16%,18%,1%,21%,12%,15%,1%,15%,16%,17%,7%,,,,,,,,,,
Quarterly Results,Net Profit,19,16,17,17,-176,15,17,8,24,20,20,21,19,,,,,,,,,,
Quarterly Results,EPS in Rs,1.95,1.69,1.74,1.72,-18.28,1.60,1.71,0.84,2.46,2.05,2.02,2.15,1.97,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,843,,,,917,,,,983,,,,1098,134,238,359,615,783,814,771,776,,
Profit & Loss,Expenses,738,,,,824,,,,878,,,,970,120,205,309,533,665,696,658,668,,
Profit & Loss,Operating Profit,105,,,,93,,,,104,,,,128,13,33,49,82,118,118,112,108,,
Profit & Loss,OPM %,12%,,,,10%,,,,11%,,,,12%,10%,14%,14%,13%,15%,14%,15%,14%,,
Profit & Loss,Other Income,1,,,,-182,,,,2,,,,2,0,2,1,4,3,5,4,5,,
Profit & Loss,Interest,12,,,,11,,,,18,,,,20,3,6,9,10,16,19,16,13,,
Profit & Loss,Depreciation,11,,,,14,,,,16,,,,17,2,3,3,4,5,7,13,13,,
Profit & Loss,Profit before tax,83,,,,-114,,,,72,,,,92,8,26,39,71,99,97,87,87,,
Profit & Loss,Tax %,16%,,,,11%,,,,11%,,,,14%,16%,14%,21%,25%,31%,21%,19%,18%,,
Profit & Loss,Net Profit,70,,,,-127,,,,64,,,,80,6,22,31,53,68,77,71,71,,
Profit & Loss,EPS in Rs,7.30,,,,-13.14,,,,6.57,,,,8.18,0.77,2.54,3.31,5.63,7.10,7.98,7.32,7.38,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,3%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,48,,,,48,,,,49,,,,49,21,22,,24,48,48,48,48,23,
Balance Sheet,Reserves,430,,,,325,,,,395,,,,487,23,56,,154,212,281,368,372,102,
