Section,,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Jun 2022,Sep 2022,Mar 2025
Quarterly Results,Sales,819,728,616,856,600,1149,834,732,584,750,960,926,841,,,,,,,,,,,,,
Quarterly Results,Expenses,677,641,528,726,488,941,715,666,474,631,849,861,744,,,,,,,,,,,,,
Quarterly Results,Operating Profit,141,87,88,130,112,208,118,65,109,119,111,66,98,,,,,,,,,,,,,
Quarterly Results,OPM %,17%,12%,14%,15%,19%,18%,14%,9%,19%,16%,12%,7%,12%,,,,,,,,,,,,,
Quarterly Results,Other Income,5,20,22,16,23,12,9,56,27,37,16,16,23,,,,,,,,,,,,,
Quarterly Results,Interest,12,8,6,9,9,9,10,16,8,16,26,12,9,,,,,,,,,,,,,
Quarterly Results,Depreciation,21,21,24,29,32,34,31,31,32,33,26,32,35,,,,,,,,,,,,,
Quarterly Results,Profit before tax,113,79,80,109,93,176,87,74,96,107,75,38,76,,,,,,,,,,,,,
Quarterly Results,Tax %,-10%,25%,29%,49%,31%,30%,30%,26%,32%,14%,27%,-75%,22%,,,,,,,,,,,,,
Quarterly Results,Net Profit,124,59,57,56,65,124,61,55,65,91,55,66,60,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,15.37,7.32,6.99,6.87,8.02,15.35,7.58,6.79,8.02,11.29,6.77,8.18,7.36,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,3018,,3252,,,,2899,,,,997,1190,1150,1166,1686,2244,2018,2110,2685,3478,,,
Profit & Loss,Expenses,,,,2572,,2815,,,,2487,,,,847,1083,1037,939,1308,2010,1781,1774,2203,3085,,,
Profit & Loss,Operating Profit,,,,446,,437,,,,412,,,,150,108,113,227,378,234,237,337,482,393,,,
Profit & Loss,OPM %,,,,15%,,13%,,,,14%,,,,15%,9%,10%,19%,22%,10%,12%,16%,18%,11%,,,
Profit & Loss,Other Income,,,,64,,77,,,,128,,,,7,20,16,22,24,25,75,56,44,92,,,
Profit & Loss,Interest,,,,35,,38,,,,50,,,,66,76,78,87,102,69,69,88,62,63,,,
Profit & Loss,Depreciation,,,,95,,121,,,,127,,,,73,49,51,113,56,54,52,57,96,127,,,
Profit & Loss,Profit before tax,,,,380,,355,,,,363,,,,19,3,0,47,244,136,192,247,368,295,,,
Profit & Loss,Tax %,,,,22%,,30%,,,,25%,,,,3%,-17%,-414%,-23%,24%,10%,9%,22%,27%,,,,
Profit & Loss,Net Profit,,,,296,,250,,,,272,,,,18,3,1,58,186,122,175,193,270,272,,,
Profit & Loss,EPS in Rs,,,,36.56,,30.91,,,,33.68,,,,2.27,0.38,0.18,7.22,23.02,15.12,21.65,23.88,33.42,33.60,,,
Profit & Loss,Dividend Payout %,,,,11%,,13%,,,,15%,,,,11%,0%,0%,8%,9%,13%,7%,8%,9%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,16,,16,,,,16,,16,,16,16,16,16,16,16,16,16,16,,,,
Balance Sheet,Reserves,,,,2343,,2689,,,,2916,,3019,,443,446,444,496,1245,1488,1516,1503,2126,,,,
Balance Sheet,Borrowings,,,,819,,454,,,,1430,,363,,786,812,931,1138,1214,776,1037,1277,958,,,,
Balance Sheet,Other Liabilities,,,,645,,644,,,,800,,577,,426,444,443,411,459,633,621,642,632,,,,
Balance Sheet,Total Liabilities,,,,3822,,3803,,,,5162,,3976,,1670,1718,1834,2061,2935,2913,3189,3438,3733,,,,
Balance Sheet,Fixed Assets,,,,1531,,1652,,,,1847,,1801,,636,767,746,752,1280,1293,1316,1353,1308,,,,
Balance Sheet,CWIP,,,,59,,21,,,,133,,199,,17,14,28,7,2,7,11,6,27,,,,
Balance Sheet,Investments,,,,594,,736,,,,629,,656,,62,79,84,94,366,626,417,359,620,,,,
Balance Sheet,Other Assets,,,,1639,,1393,,,,2554,,1320,,956,858,976,1208,1287,987,1445,1720,1777,,,,
Balance Sheet,Total Assets,,,,3822,,3803,,,,5162,,3976,,1670,1718,1834,2061,2935,2913,3189,3438,3733,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,567,,583,,,,-239,,,,95,266,-11,-24,155,706,-220,59,346,,,,
Cash Flows,Cash from Investing Activity,,,,-327,,-192,,,,-257,,,,-157,-184,-43,-77,-144,-178,-29,-179,37,,,,
Cash Flows,Cash from Financing Activity,,,,-217,,-419,,,,902,,,,12,-61,42,112,2,-528,219,145,-364,,,,
Cash Flows,Net Cash Flow,,,,23,,-29,,,,405,,,,-50,21,-13,11,13,1,-31,25,18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,20,,17,,,,15,,,,21,6,25,33,24,12,37,29,16,,,,
Ratios,Inventory Days,,,,213,,163,,,,329,,,,383,252,310,476,367,161,284,345,274,,,,
Ratios,Days Payable,,,,45,,33,,,,71,,,,133,113,133,125,62,92,109,102,54,,,,
Ratios,Cash Conversion Cycle,,,,188,,147,,,,273,,,,271,144,202,384,329,81,212,272,237,,,,
Ratios,Working Capital Days,,,,129,,95,,,,183,,,,159,85,116,172,174,54,148,177,163,,,,
Ratios,ROCE %,,,,13%,,12%,,,,10%,,,,7%,6%,5%,8%,17%,9%,10%,12%,15%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,74.91%,74.91%,74.91%,74.91%,74.92%,74.92%,74.92%,74.92%,74.92%,,,,,,,,,,,74.91%,74.91%,74.92%
Shareholding Pattern (Quarterly),FIIs,,,,,1.01%,1.03%,0.90%,0.97%,1.07%,1.03%,0.96%,1.02%,0.89%,,,,,,,,,,,1.42%,1.17%,0.75%
Shareholding Pattern (Quarterly),DIIs,,,,,0.07%,0.06%,0.06%,0.08%,0.08%,0.09%,0.09%,0.05%,0.05%,,,,,,,,,,,0.07%,0.04%,0.05%
Shareholding Pattern (Quarterly),Government,,,,,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,,,,,,,,,,,0.16%,0.16%,0.16%
Shareholding Pattern (Quarterly),Public,,,,,23.84%,23.82%,23.96%,23.88%,23.78%,23.81%,23.87%,23.85%,23.99%,,,,,,,,,,,23.44%,23.73%,24.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,46128,43368,41491,41485,45070,47026,47906,45953,45934,,,,,,,,,,,44063,46465,46076
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.91%,,74.91%,,,,74.92%,,,,,,,,74.91%,74.91%,74.91%,74.91%,74.91%,,,,74.92%
Shareholding Pattern (Yearly),FIIs,,,,1.15%,,1.03%,,,,1.03%,,,,,,,,1.03%,0.88%,2.59%,0.39%,0.83%,,,,0.75%
Shareholding Pattern (Yearly),DIIs,,,,0.07%,,0.06%,,,,0.09%,,,,,,,,2.12%,1.88%,1.89%,1.86%,0.07%,,,,0.05%
Shareholding Pattern (Yearly),Government,,,,0.16%,,0.16%,,,,0.16%,,,,,,,,0.16%,0.16%,0.16%,0.16%,0.16%,,,,0.16%
Shareholding Pattern (Yearly),Public,,,,23.71%,,23.82%,,,,23.81%,,,,,,,,21.78%,22.17%,20.45%,22.68%,24.03%,,,,24.11%
Shareholding Pattern (Yearly),No. of Shareholders,,,,41039,,43368,,,,47026,,,,,,,,18228,21583,19418,19814,18605,,,,46076
,,,,,,,,,,,,,,,,,,,,,,,,,,,
