Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,8.32,5.66,6.12,11.24,8.27,1.82,1.62,2.08,2.09,4.22,3.42,1.28,1.70,,
Quarterly Results,Expenses,9.20,3.12,4.28,8.55,12.65,3.20,1.94,4.05,4.96,5.96,4.81,2.38,5.37,,
Quarterly Results,Operating Profit,-0.88,2.54,1.84,2.69,-4.38,-1.38,-0.32,-1.97,-2.87,-1.74,-1.39,-1.10,-3.67,,
Quarterly Results,OPM %,-10.58%,44.88%,30.07%,23.93%,-52.96%,-75.82%,-19.75%,-94.71%,-137.32%,-41.23%,-40.64%,-85.94%,-215.88%,,
Quarterly Results,Other Income,6.43,0.26,0.03,0.11,9.41,0.17,0.14,0.16,2.75,0.14,0.12,0.11,0.19,,
Quarterly Results,Interest,0.05,0.00,0.03,0.00,0.34,0.00,0.00,0.00,0.34,0.08,0.09,0.11,0.09,,
Quarterly Results,Depreciation,3.59,3.45,3.49,3.49,3.45,3.29,3.10,3.11,2.97,2.27,2.53,2.09,1.99,,
Quarterly Results,Profit before tax,1.91,-0.65,-1.65,-0.69,1.24,-4.50,-3.28,-4.92,-3.43,-3.95,-3.89,-3.19,-5.56,,
Quarterly Results,Tax %,16.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Quarterly Results,Net Profit,1.59,-0.65,-1.65,-0.69,1.24,-4.50,-3.28,-4.92,-3.43,-3.95,-3.89,-3.19,-5.56,,
Quarterly Results,EPS in Rs,0.07,-0.03,-0.08,-0.03,0.06,-0.22,-0.16,-0.24,-0.17,-0.19,-0.19,-0.15,-0.27,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,38,,,,31,,,,8,,,,11,285,107
Profit & Loss,Expenses,34,,,,29,,,,14,,,,19,265,104
Profit & Loss,Operating Profit,4,,,,3,,,,-7,,,,-8,19,3
Profit & Loss,OPM %,11%,,,,9%,,,,-86%,,,,-74%,7%,3%
Profit & Loss,Other Income,8,,,,10,,,,3,,,,1,5,10
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,0,0
Profit & Loss,Depreciation,14,,,,14,,,,12,,,,9,23,17
Profit & Loss,Profit before tax,-2,,,,-2,,,,-16,,,,-17,1,-5
Profit & Loss,Tax %,15%,,,,0%,,,,0%,,,,0%,48%,-11%
Profit & Loss,Net Profit,-2,,,,-2,,,,-16,,,,-17,1,-4
Profit & Loss,EPS in Rs,-0.14,,,,-0.08,,,,-0.78,,,,-0.79,,-0.21
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,20,,,,21,,,,21,,,,21,11,20
Balance Sheet,Reserves,51,,,,50,,,,34,,,,16,147,60
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,4,0,0
Balance Sheet,Other Liabilities,46,,,,45,,,,39,,,,37,68,44
Balance Sheet,Total Liabilities,118,,,,115,,,,94,,,,78,225,125
Balance Sheet,Fixed Assets,36,,,,23,,,,11,,,,3,122,50
Balance Sheet,CWIP,2,,,,0,,,,0,,,,0,7,2
Balance Sheet,Investments,12,,,,29,,,,29,,,,29,7,8
Balance Sheet,Other Assets,68,,,,63,,,,54,,,,47,90,65
Balance Sheet,Total Assets,118,,,,115,,,,94,,,,78,225,125
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,7,,,,38,,,,-10,,,,-5,35,-6
Cash Flows,Cash from Investing Activity,-0,,,,-17,,,,0,,,,-1,-39,4
Cash Flows,Cash from Financing Activity,-6,,,,0,,,,-0,,,,-0,1,1
Cash Flows,Net Cash Flow,1,,,,20,,,,-10,,,,-6,-3,-1
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,96,,,,93,,,,494,,,,399,37,45
Ratios,Inventory Days,0,,,,0,,,,0,,,,0,3,0
Ratios,Days Payable,,,,,,,,,,,,,,50,
Ratios,Cash Conversion Cycle,96,,,,93,,,,494,,,,399,-10,45
Ratios,Working Capital Days,130,,,,-114,,,,-234,,,,-164,7,45
Ratios,ROCE %,-7%,,,,-2%,,,,-25%,,,,-33%,,-4%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,39.56%,38.77%,38.77%,38.77%,38.77%,38.77%,38.77%,38.77%,38.33%,38.33%,38.33%,38.33%,,
Shareholding Pattern (Quarterly),FIIs,,4.47%,4.38%,4.38%,4.38%,4.38%,4.35%,4.11%,4.11%,3.76%,3.59%,3.16%,3.16%,,
Shareholding Pattern (Quarterly),Public,,55.97%,56.86%,56.84%,56.85%,56.85%,56.88%,57.11%,57.10%,57.91%,58.08%,58.52%,58.52%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,54044,54581,53300,51994,51233,53471,85601,85065,85335,87500,94918,95552,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,39.56%,,,,38.77%,,,,38.77%,,,,38.33%,,39.56%
Shareholding Pattern (Yearly),FIIs,4.39%,,,,4.38%,,,,4.11%,,,,3.16%,,6.90%
Shareholding Pattern (Yearly),Public,56.05%,,,,56.85%,,,,57.10%,,,,58.52%,,53.54%
Shareholding Pattern (Yearly),No. of Shareholders,53962,,,,51994,,,,85065,,,,95552,,37760
,,,,,,,,,,,,,,,,
