Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,951,1185,1378,1505,1615,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,859,938,1037,1114,1312,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,91,247,340,391,303,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,10%,21%,25%,26%,19%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,32,16,24,-23,18,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,59,48,32,21,35,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,33,33,34,35,55,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,31,182,299,312,232,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,28%,35%,36%,35%,32%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,23,119,191,202,158,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.14,5.99,9.63,10.13,7.89,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,12%,12%,14%,18%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,15,19,19,19,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,157,247,553,633,756,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,570,452,278,467,517,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,222,319,332,323,426,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,964,1032,1183,1442,1718,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,586,565,598,385,1116,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,8,66,200,659,57,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,9,9,9,9,47,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,360,392,376,389,498,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,964,1032,1183,1442,1718,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,115,252,294,264,262,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-7,-63,-201,-495,-223,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-108,-188,-84,239,-26,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-0,-0,9,7,13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,52,44,37,34,42,,,,,,,,,,,,,,,,,,
