Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023,May 2025
Quarterly Results,Sales,2390,2763,3049,3046,3222,3601,3993,4410,,,,
Quarterly Results,Expenses,2964,3387,3575,3536,3767,4156,4719,5374,,,,
Quarterly Results,Operating Profit,-575,-624,-526,-490,-544,-554,-726,-964,,,,
Quarterly Results,OPM %,-24%,-23%,-17%,-16%,-17%,-15%,-18%,-22%,,,,
Quarterly Results,Other Income,119,87,78,73,75,83,106,121,,,,
Quarterly Results,Interest,17,15,18,20,20,23,26,32,,,,
Quarterly Results,Depreciation,91,105,108,117,122,131,154,206,,,,
Quarterly Results,Profit before tax,-564,-657,-574,-555,-611,-626,-799,-1081,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,,,,
Quarterly Results,Net Profit,-564,-657,-574,-555,-611,-626,-799,-1081,,,,
Quarterly Results,EPS in Rs,,,,,,-62.70,-3.57,-4.73,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,11247,,,,15227,2547,5705,8265,
Profit & Loss,Expenses,,,,13447,,,,18015,3843,9355,12538,
Profit & Loss,Operating Profit,,,,-2199,,,,-2788,-1296,-3650,-4273,
Profit & Loss,OPM %,,,,-20%,,,,-18%,-51%,-64%,-52%,
Profit & Loss,Other Income,,,,341,,,,384,-19,239,438,
Profit & Loss,Interest,,,,71,,,,101,75,48,58,
Profit & Loss,Depreciation,,,,421,,,,612,221,170,286,
Profit & Loss,Profit before tax,,,,-2350,,,,-3117,-1612,-3629,-4179,
Profit & Loss,Tax %,,,,0%,,,,0%,0%,0%,0%,
Profit & Loss,Net Profit,,,,-2350,,,,-3117,-1617,-3629,-4179,
Profit & Loss,EPS in Rs,,,,,,,,-13.63,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,3,,,,229,0.01,0.86,3,
Balance Sheet,Reserves,,,,-7785,,,,9991,1736,-3296,-6509,
Balance Sheet,Borrowings,,,,16437,,,,1703,93,16071,16162,
Balance Sheet,Other Liabilities,,,,1874,,,,3283,1086,1637,1624,
Balance Sheet,Total Liabilities,,,,10529,,,,15205,2915,14412,11281,
Balance Sheet,Fixed Assets,,,,2041,,,,3631,747,801,1505,
Balance Sheet,CWIP,,,,0,,,,0,0,0,0,
Balance Sheet,Investments,,,,5171,,,,2677,925,10348,6541,
Balance Sheet,Other Assets,,,,3317,,,,8897,1243,3263,3235,
Balance Sheet,Total Assets,,,,10529,,,,15205,2915,14412,11281,
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-1313,,,,-2169,-1175,-3900,-4060,
Cash Flows,Cash from Investing Activity,,,,1472,,,,-1372,1282,-9160,3968,
Cash Flows,Cash from Financing Activity,,,,-123,,,,3903,14,13634,-172,
Cash Flows,Net Cash Flow,,,,37,,,,361,120,574,-264,
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,31,,,,59,24,71,47,
Ratios,Inventory Days,,,,4,,,,3,10,4,1,
Ratios,Days Payable,,,,70,,,,111,223,154,94,
Ratios,Cash Conversion Cycle,,,,-35,,,,-48,-189,-79,-46,
Ratios,Working Capital Days,,,,10,,,,62,-38,25,24,
Ratios,ROCE %,,,,-24%,,,,-29%,,-48%,-37%,
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,6.19%,4.90%,,,,4.51%
Shareholding Pattern (Quarterly),DIIs,,,,,,,7.75%,9.33%,,,,8.65%
Shareholding Pattern (Quarterly),Public,,,,,,,86.07%,85.77%,,,,78.66%
Shareholding Pattern (Quarterly),Others,,,,,,,0.00%,0.00%,,,,8.16%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,423592,504712,,,,507036
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,4.90%,,,,4.51%
Shareholding Pattern (Yearly),DIIs,,,,,,,,9.33%,,,,8.65%
Shareholding Pattern (Yearly),Public,,,,,,,,85.77%,,,,78.66%
Shareholding Pattern (Yearly),Others,,,,,,,,0.00%,,,,8.16%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,504712,,,,507036
,,,,,,,,,,,,,
