Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,2.44,8.08,19.48,9.27,4.47,5.89,13.33,12.97,2.64,7.72,15.16,13.10,2.00,,,,,,,
Quarterly Results,Expenses,5.21,6.77,5.57,9.61,7.77,6.21,4.49,11.66,6.91,6.09,6.23,11.60,7.67,,,,,,,
Quarterly Results,Operating Profit,-2.77,1.31,13.91,-0.34,-3.30,-0.32,8.84,1.31,-4.27,1.63,8.93,1.50,-5.67,,,,,,,
Quarterly Results,OPM %,-113.52%,16.21%,71.41%,-3.67%,-73.83%,-5.43%,66.32%,10.10%,-161.74%,21.11%,58.91%,11.45%,-283.50%,,,,,,,
Quarterly Results,Other Income,0.36,0.60,0.05,0.67,0.68,0.17,0.17,0.65,0.16,0.12,0.18,-0.19,0.73,,,,,,,
Quarterly Results,Interest,0.04,0.04,0.12,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,,,,,,,
Quarterly Results,Depreciation,0.19,0.17,0.18,0.19,0.19,0.19,0.20,0.20,0.19,0.19,0.19,0.19,0.47,,,,,,,
Quarterly Results,Profit before tax,-2.64,1.70,13.66,0.14,-2.82,-0.34,8.81,1.75,-4.31,1.56,8.92,1.12,-5.42,,,,,,,
Quarterly Results,Tax %,-3.79%,17.06%,23.43%,-350.00%,-2.84%,52.94%,24.29%,23.43%,-6.96%,26.92%,18.95%,28.57%,-31.55%,,,,,,,
Quarterly Results,Net Profit,-2.54,1.40,10.45,0.63,-2.74,-0.52,6.67,1.34,-4.01,1.14,7.22,0.80,-3.71,,,,,,,
Quarterly Results,EPS in Rs,-2.54,1.40,10.45,0.63,-2.74,-0.52,6.67,1.34,-4.01,1.14,7.22,0.80,-3.71,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,34.41,,,,41.93,,,,35.68,,,,37.98,0.00,28.70,33.47,32.09,31.87,34.81,
Profit & Loss,Expenses,26.00,,,,29.74,,,,29.39,,,,31.38,0.04,20.80,20.37,22.43,22.47,22.84,
Profit & Loss,Operating Profit,8.41,,,,12.19,,,,6.29,,,,6.60,-0.04,7.90,13.10,9.66,9.40,11.97,
Profit & Loss,OPM %,24.44%,,,,29.07%,,,,17.63%,,,,17.38%,,27.53%,39.14%,30.10%,29.49%,34.39%,
Profit & Loss,Other Income,1.61,,,,1.38,,,,0.41,,,,0.12,0.00,0.11,0.19,0.32,0.12,0.51,
Profit & Loss,Interest,0.20,,,,0.17,,,,0.01,,,,0.01,0.00,0.18,0.82,0.51,0.16,0.08,
Profit & Loss,Depreciation,0.74,,,,0.73,,,,0.78,,,,1.04,0.00,1.23,1.25,0.73,0.65,0.70,
Profit & Loss,Profit before tax,9.08,,,,12.67,,,,5.91,,,,5.67,-0.04,6.60,11.22,8.74,8.71,11.70,
Profit & Loss,Tax %,11.89%,,,,23.05%,,,,41.12%,,,,10.76%,0.00%,11.36%,17.74%,13.96%,18.03%,16.32%,
Profit & Loss,Net Profit,7.99,,,,9.75,,,,3.48,,,,5.06,-0.04,5.85,9.23,7.52,7.14,9.79,
Profit & Loss,EPS in Rs,7.99,,,,9.75,,,,3.48,,,,5.06,,5.85,9.23,7.52,7.14,9.79,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.00,,,,10.00,,,,10.00,,,,10.00,0.05,10.00,10.00,10.00,10.00,10.00,
Balance Sheet,Reserves,613.72,,,,441.15,,,,535.23,,,,666.25,-0.04,75.08,84.25,303.91,198.40,327.78,
Balance Sheet,Borrowings,2.63,,,,0.00,,,,0.00,,,,0.00,0.00,11.50,6.25,2.45,2.58,2.47,
Balance Sheet,Other Liabilities,14.36,,,,6.14,,,,25.06,,,,56.22,0.00,4.75,4.80,6.07,6.20,5.94,
Balance Sheet,Total Liabilities,640.71,,,,457.29,,,,570.29,,,,732.47,0.01,101.33,105.30,322.43,217.18,346.19,
Balance Sheet,Fixed Assets,12.07,,,,12.28,,,,13.83,,,,13.90,0.00,11.47,11.34,11.11,11.71,12.00,
Balance Sheet,CWIP,1.32,,,,2.27,,,,0.83,,,,1.21,0.00,0.76,0.50,0.81,0.67,0.68,
Balance Sheet,Investments,554.19,,,,383.40,,,,493.12,,,,667.27,0.00,35.73,35.73,247.75,135.47,256.49,
Balance Sheet,Other Assets,73.13,,,,59.34,,,,62.51,,,,50.09,0.01,53.37,57.73,62.76,69.33,77.02,
Balance Sheet,Total Assets,640.71,,,,457.29,,,,570.29,,,,732.47,0.01,101.33,105.30,322.43,217.18,346.19,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16.67,,,,23.13,,,,-5.22,,,,21.30,-0.04,-13.58,3.11,6.08,10.57,5.11,
Cash Flows,Cash from Investing Activity,-22.26,,,,-21.30,,,,-0.85,,,,-19.10,0.00,20.03,6.91,-0.80,-1.02,-2.54,
Cash Flows,Cash from Financing Activity,-0.07,,,,-2.83,,,,-0.04,,,,-0.04,0.00,10.00,-6.07,-5.06,-0.10,-0.04,
Cash Flows,Net Cash Flow,-5.66,,,,-0.99,,,,-6.11,,,,2.16,-0.04,16.44,3.95,0.22,9.45,2.53,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,1.59,,,,7.14,,,,5.63,,,,9.80,,12.46,14.83,18.65,15.35,6.19,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,1.59,,,,7.14,,,,5.63,,,,9.80,,12.46,14.83,18.65,15.35,6.19,
Ratios,Working Capital Days,38.93,,,,14.71,,,,20.46,,,,-21.43,,354.57,322.25,69.16,51.77,30.30,
Ratios,ROCE %,1.92%,,,,2.37%,,,,1.18%,,,,1.10%,,13.83%,12.22%,4.43%,3.42%,4.27%,
,,,,,,,,,,,,,,,,,,,,,
