Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,9,12,12,13,15,14,21,14,16,19,21,19,19,,,,,,,,,,,,,
Quarterly Results,Expenses,10,10,10,12,14,11,12,12,16,15,16,18,17,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-1,2,2,1,1,3,10,2,0,5,5,1,2,,,,,,,,,,,,,
Quarterly Results,OPM %,-12%,15%,18%,10%,7%,21%,46%,13%,3%,24%,23%,5%,9%,,,,,,,,,,,,,
Quarterly Results,Other Income,8,0,0,0,9,0,0,0,4,9,0,0,-17,,,,,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Quarterly Results,Depreciation,0,0,1,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,
Quarterly Results,Profit before tax,6,1,2,1,9,3,10,1,4,13,4,0,-18,,,,,,,,,,,,,
Quarterly Results,Tax %,-94%,0%,0%,0%,83%,0%,0%,0%,92%,0%,0%,0%,0%,,,,,,,,,,,,,
Quarterly Results,Net Profit,11,1,2,1,1,3,10,1,0,13,4,0,-18,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.24,0.25,0.35,0.13,0.30,0.52,2.00,0.30,0.06,2.73,0.83,0.06,-3.61,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,38.25,,,,52.22,,,,66.43,,,,78.36,197.67,93.62,81.55,89.13,75.51,93.97,105.33,40.28,,,,,
Profit & Loss,Expenses,38.12,,,,46.31,,,,52.11,,,,66.21,396.94,116.30,128.38,96.87,85.30,99.23,127.42,41.14,,,,,
