Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,262,239,319,421,397,468,430,511,304,301,411,659,403,,,,
Quarterly Results,Expenses,259,236,313,416,391,461,418,500,292,293,399,647,390,,,,
Quarterly Results,Operating Profit,3,2,6,5,6,7,12,11,12,8,12,12,13,,,,
Quarterly Results,OPM %,1%,1%,2%,1%,1%,1%,3%,2%,4%,3%,3%,2%,3%,,,,
Quarterly Results,Other Income,6,5,7,8,6,3,3,6,16,4,5,12,6,,,,
Quarterly Results,Interest,2,2,2,3,3,2,2,2,2,1,2,4,3,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Quarterly Results,Profit before tax,7,5,11,10,9,7,12,13,25,11,15,20,16,,,,
Quarterly Results,Tax %,24%,23%,15%,20%,25%,18%,15%,14%,19%,16%,12%,14%,13%,,,,
Quarterly Results,Net Profit,5,4,9,8,6,6,10,12,20,9,13,17,14,,,,
Quarterly Results,EPS in Rs,4.32,3.36,7.22,6.10,5.12,4.67,7.44,8.22,14.43,6.44,9.28,11.99,9.14,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,947,,,,1392,,,,1721,,,,1774,368,457,520,
Profit & Loss,Expenses,915,,,,1357,,,,1672,,,,1729,357,442,507,
Profit & Loss,Operating Profit,32,,,,36,,,,49,,,,46,10,15,13,
Profit & Loss,OPM %,3%,,,,3%,,,,3%,,,,3%,3%,3%,2%,
Profit & Loss,Other Income,1,,,,10,,,,20,,,,27,3,1,6,
Profit & Loss,Interest,6,,,,9,,,,10,,,,10,5,5,5,
Profit & Loss,Depreciation,1,,,,2,,,,1,,,,1,1,1,1,
Profit & Loss,Profit before tax,25,,,,34,,,,58,,,,62,8,11,13,
Profit & Loss,Tax %,23%,,,,20%,,,,17%,,,,14%,29%,30%,28%,
Profit & Loss,Net Profit,19,,,,27,,,,48,,,,53,6,8,9,
Profit & Loss,EPS in Rs,13.32,,,,19.52,,,,31.22,,,,35.37,5.04,6.71,8.23,
Profit & Loss,Dividend Payout %,4%,,,,3%,,,,2%,,,,1%,5%,7%,0%,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,13,,,,14,,,,15,6,12,12,
Balance Sheet,Reserves,70,,,,105,,,,202,,,,279,28,40,47,
Balance Sheet,Borrowings,64,,,,89,,,,74,,,,72,36,32,43,
Balance Sheet,Other Liabilities,107,,,,82,,,,72,,,,166,49,71,90,
Balance Sheet,Total Liabilities,253,,,,288,,,,361,,,,532,119,155,192,
Balance Sheet,Fixed Assets,11,,,,10,,,,9,,,,8,9,9,10,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,2,0,0,0,
Balance Sheet,Investments,0,,,,0,,,,0,,,,3,1,1,0,
Balance Sheet,Other Assets,243,,,,278,,,,353,,,,518,108,145,182,
Balance Sheet,Total Assets,253,,,,288,,,,361,,,,532,119,155,192,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-19,,,,-21,,,,-28,,,,22,-4,-2,-4,
Cash Flows,Cash from Investing Activity,-3,,,,-0,,,,-24,,,,-7,-2,-1,-2,
Cash Flows,Cash from Financing Activity,22,,,,21,,,,57,,,,20,7,3,7,
Cash Flows,Net Cash Flow,1,,,,-0,,,,5,,,,35,1,-1,2,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,33,,,,24,,,,31,,,,49,44,31,39,
Ratios,Inventory Days,41,,,,23,,,,18,,,,24,30,54,46,
Ratios,Days Payable,27,,,,13,,,,12,,,,30,29,26,29,
Ratios,Cash Conversion Cycle,47,,,,34,,,,37,,,,42,45,59,56,
Ratios,Working Capital Days,52,,,,52,,,,58,,,,64,56,56,62,
