Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Jun 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,136.63,151.36,165.84,168.94,185.05,,,,,,,,,,,,,
Quarterly Results,Expenses,123.15,137.86,147.53,151.31,165.15,,,,,,,,,,,,,
Quarterly Results,Operating Profit,13.48,13.50,18.31,17.63,19.90,,,,,,,,,,,,,
Quarterly Results,OPM %,9.87%,8.92%,11.04%,10.44%,10.75%,,,,,,,,,,,,,
Quarterly Results,Other Income,-6.91,0.38,0.13,0.50,0.34,,,,,,,,,,,,,
Quarterly Results,Interest,3.23,4.13,3.40,2.52,4.02,,,,,,,,,,,,,
Quarterly Results,Depreciation,2.02,2.00,2.11,2.15,2.21,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.32,7.75,12.93,13.46,14.01,,,,,,,,,,,,,
Quarterly Results,Tax %,-14.39%,33.81%,21.19%,25.63%,28.69%,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.52,5.12,10.19,10.01,9.99,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.89,2.99,5.95,5.83,5.82,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,518,,,655,,,,,,,,,,,,,
Profit & Loss,Expenses,,473,,,585,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,45,,,71,,,,,,,,,,,,,
Profit & Loss,OPM %,,9%,,,11%,,,,,,,,,,,,,
Profit & Loss,Other Income,,-6,,,1,,,,,,,,,,,,,
Profit & Loss,Interest,,13,,,14,,,,,,,,,,,,,
Profit & Loss,Depreciation,,7,,,8,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,18,,,50,,,,,,,,,,,,,
Profit & Loss,Tax %,,29%,,,26%,,,,,,,,,,,,,
Profit & Loss,Net Profit,,13,,,37,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,7.30,,,21.62,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,16%,,,9%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,3,,,3,,,,,,,,,,,,,
Balance Sheet,Reserves,,121,,,156,,,,,,,,,,,,,
Balance Sheet,Borrowings,,135,,,164,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,71,,,93,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,331,,,417,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,90,,,107,,,,,,,,,,,,,
Balance Sheet,CWIP,,22,,,12,,,,,,,,,,,,,
Balance Sheet,Investments,,0,,,0,,,,,,,,,,,,,
Balance Sheet,Other Assets,,219,,,298,,,,,,,,,,,,,
Balance Sheet,Total Assets,,331,,,417,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,34,,,36,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-19,,,-25,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-14,,,-11,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,0,,,-0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,63,,,61,,,,,,,,,,,,,
Ratios,Inventory Days,,92,,,92,,,,,,,,,,,,,
Ratios,Days Payable,,45,,,46,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,110,,,107,,,,,,,,,,,,,
Ratios,Working Capital Days,,100,,,98,,,,,,,,,,,,,
Ratios,ROCE %,,,,,22%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,44.08%,44.05%,44.05%,43.98%,43.98%,42.25%,42.25%,42.25%,44.08%,44.08%,44.08%,44.05%,,,,,,
Shareholding Pattern (Quarterly),FIIs,5.72%,5.76%,5.97%,6.28%,6.03%,6.47%,6.47%,6.47%,6.26%,6.26%,6.26%,5.82%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.01%,0.01%,0.01%,0.07%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,50.18%,50.16%,49.95%,49.64%,49.96%,51.26%,51.26%,51.26%,49.64%,49.64%,49.65%,50.13%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,8403,9936,14319,16593,18241,9652,9553,9136,8921,7983,7580,10997,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,44.05%,,,43.98%,,,,44.08%,,,,44.51%,42.03%,42.20%,42.20%,42.25%,42.25%
Shareholding Pattern (Yearly),FIIs,,5.76%,,,6.03%,,,,6.26%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,6.47%
Shareholding Pattern (Yearly),DIIs,,0.01%,,,0.01%,,,,0.01%,,,,0.06%,0.02%,0.02%,0.33%,0.02%,0.02%
Shareholding Pattern (Yearly),Public,,50.16%,,,49.96%,,,,49.64%,,,,55.43%,57.95%,57.78%,57.46%,57.73%,51.26%
Shareholding Pattern (Yearly),No. of Shareholders,,9936,,,18241,,,,8921,,,,6218,6305,6242,7780,10744,9608
,,,,,,,,,,,,,,,,,,,
