Section,,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2022,Dec 2012,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2020,Mar 2021
Quarterly Results,Sales,2203,1850,1726,1746,1975,2098,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,2094,1705,1602,1622,1787,1898,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,108,146,124,123,188,200,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,5%,8%,7%,7%,10%,10%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,46,81,73,41,25,,,,,,,,,,,,,,,,
Quarterly Results,Interest,13,3,10,4,1,3,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,12,23,22,23,26,26,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,84,166,173,169,201,196,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,28%,30%,25%,20%,60%,26%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,64,116,130,135,80,146,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.03,5.48,6.15,6.38,3.76,6.87,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7449,,,,,,7608,,,,,,,,,,,,,,,
Profit & Loss,Expenses,7093,,,,,,7253,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,356,,,,,,355,,,,,,,,,,,,,,,
Profit & Loss,OPM %,5%,,,,,,5%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,38,,,,,,7,,,,,,,,,,,,,,,
Profit & Loss,Interest,46,,,,,,57,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,80,,,,,,94,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,268,,,,,,211,,,,,,,,,,,,,,,
Profit & Loss,Tax %,31%,,,,,,33%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,185,,,,,,141,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,8.72,,,,,,6.65,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,34%,,,,,,45%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,42,,,,,42,42,,,,,,,,,,,,,,,
Balance Sheet,Reserves,2492,,,,,4129,2559,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,0,,,,,30,328,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,3784,,,,,4343,3575,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,6319,,,,,8545,6504,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,1195,,,,,823,1234,,,,,,,,,,,,,,,
Balance Sheet,CWIP,74,,,,,100,117,,,,,,,,,,,,,,,
Balance Sheet,Investments,17,,,,,975,17,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,5033,,,,,6647,5137,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,6319,,,,,8545,6504,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,120,,,,,,-44,,,,,,,,,,,,,,,
